User Query,Attribute Path,Path Length
Any tips to making friends outside of work?,"['Profession', 'Age', 'Emotional State', 'Education Level', 'Marital Status', 'Mental Health Status', 'Economic Status']",7
How can I improve my social life and build friendships after spending years focusing only on academics?,['Education Level'],1
How can I improve my conversation skills and overcome my fear of asking out someone I like?,['Emotional State'],1
How can I be more relatable in the workplace and just in general?,['Profession'],1
Is there anyone that can just talk to me? Give me some advice?,"['Emotional State', 'Age', 'Education Level', 'Mental Health Status', 'Profession', 'Marital Status', 'Health Status', 'Gender', 'Economic Status', 'Past Self-Harm History']",10
"Where can I go from here to improve my communication skills in general, and are there any useful books or articles that may help?",['Education Level'],1
What should I do about feeling socially awkward and desperate for a relationship?,"['Emotional State', 'Marital Status', 'Gender', 'Age', 'Education Level', 'Mental Health Status', 'Profession']",7
How can I become more relevant to people and improve my ability to maintain conversations?,['Education Level'],1
How can I improve my self-confidence with girls?,"['Emotional State', 'Mental Health Status', 'Age', 'Profession', 'Education Level', 'Marital Status', 'Economic Status']",7
What can I do to change the way people see me?,"['Emotional State', 'Profession']",2
How can I talk to girls when I'm scared to look at them?,"['Age', 'Emotional State', 'Profession', 'Marital Status', 'Economic Status', 'Gender', 'Past Self-Harm History', 'Education Level']",8
How can I go out and make friends or know what to do when hanging out with them?,['Profession'],1
Should I talk to my nurse in charge about my concerns of being misinterpreted? How can I beat these negative thoughts?,"['Emotional State', 'Mental Health Status', 'Age', 'Profession', 'Gender', 'Marital Status', 'Health Status', 'Economic Status']",8
How can I make and retain friends?,"['Emotional State', 'Profession', 'Age']",3
"How can I make friends, both guys and girls?","['Profession', 'Age', 'Education Level', 'Emotional State', 'Gender', 'Marital Status', 'Mental Health Status']",7
What are some tips to be more confident and in a better mood?,['Emotional State'],1
How can I improve myself overall and my life?,"['Emotional State', 'Education Level', 'Profession']",3
How can I become more social and meet new people?,['Profession'],1
How do I start dating and overcome my relationship-anxiety given my past issues and current progress?,['Emotional State'],1
What can I do to make female friends as a college student?,"['Age', 'Education Level']",2
Is there anything that you recommend I do to feel valued by others and improve my social life?,['Emotional State'],1
Are there any books or advice on completely re-learning social skills?,"['Emotional State', 'Age', 'Profession']",3
How would anyone go about talking to someone they're attracted to?,['Emotional State'],1
What are some social hobbies I can attend?,"['Profession', 'Age', 'Education Level']",3
How can I push myself to go in for the interview and pursue the job despite my anxiety?,['Emotional State'],1
How can I overcome drug-induced psychosis and anxiety?,"['Mental Health Status', 'Emotional State', 'Age', 'Profession', 'Health Status', 'Economic Status', 'Education Level', 'Past Self-Harm History']",8
How can I make lasting friendships at my new tech job and avoid feeling like an outsider?,['Profession'],1
How can I overcome my anxiety about approaching girls in public places?,"['Emotional State', 'Age', 'Profession', 'Marital Status', 'Education Level', 'Mental Health Status', 'Past Self-Harm History', 'Gender']",8
"How should I approach this, and how do I get my confidence back?","['Emotional State', 'Mental Health Status', 'Age', 'Profession', 'Education Level']",5
How can I change to be less lonely and make friends?,"['Emotional State', 'Age', 'Profession', 'Mental Health Status', 'Marital Status', 'Education Level']",6
How can I get rid of my bad temper?,"['Emotional State', 'Mental Health Status', 'Age', 'Profession', 'Education Level']",5
Is it possible to function and to stay on top of the social loop without getting Snapchat?,"['Emotional State', 'Age', 'Mental Health Status', 'Profession', 'Education Level', 'Marital Status', 'Health Status']",7
Why can't I get friends?,"['Emotional State', 'Profession', 'Mental Health Status', 'Age', 'Marital Status', 'Education Level', 'Economic Status']",7
How can I make close friends?,"['Emotional State', 'Profession', 'Age', 'Education Level', 'Marital Status', 'Mental Health Status', 'Economic Status']",7
How do I go about meeting girls organically when there are none in my research groups or classes?,"['Age', 'Profession']",2
What tips do you have to force myself into social situations despite anxiety?,"['Emotional State', 'Age', 'Profession', 'Mental Health Status']",4
How can I start going out with my friends and be more outgoing?,['Emotional State'],1
How can I improve my relationship with my brother despite our differences?,['Age'],1
How do I stop being regarded as the weird/awkward/boring/nerdy girl at school?,"['Education Level', 'Age', 'Mental Health Status']",3
How do I make friends with people who don’t want to pursue a romantic or sexual relationship with me?,['Emotional State'],1
"What should I do now that I went on a date with a girl I've liked for years, but she hasn't texted me back and is possibly still hooking up with my friend?","['Emotional State', 'Mental Health Status', 'Age', 'Profession', 'Marital Status', 'Past Self-Harm History', 'Economic Status', 'Gender']",8
How can I stop feeling anxious about going to school and blushing in class?,"['Emotional State', 'Mental Health Status', 'Education Level', 'Age', 'Health Status', 'Profession', 'Gender', 'Marital Status', 'Economic Status']",9
How can I regain self-belief and make new friends without repeating past mistakes?,['Mental Health Status'],1
Is it a bad habit to convince myself that someone is out of my league to stay focused on schoolwork?,['Education Level'],1
What can I take for this? Antidepressants? Is that what makes your serotonin levels go up or down?,"['Mental Health Status', 'Emotional State', 'Profession', 'Health Status', 'Economic Status']",5
What can I do if I physically can't talk to women because of my low self-esteem and fear of rejection?,"['Emotional State', 'Mental Health Status']",2
How can I explain to my boyfriend that I don't want a wedding because I'm embarrassed to not have bridesmaids or friends there?,"['Emotional State', 'Marital Status', 'Profession', 'Age', 'Education Level', 'Mental Health Status', 'Economic Status', 'Health Status', 'Past Self-Harm History']",9
What measures can I take to be social whilst not being able to get out much?,['Emotional State'],1
Should I start spending time alone even if I hate the feeling of being alone?,"['Emotional State', 'Marital Status']",2
What can I do to improve my social skills and build meaningful relationships?,['Emotional State'],1
How can I improve my social skills and manage my anxiety to apply for jobs?,['Education Level'],1
How can I stop being the target of roasts in my friend circles?,"['Profession', 'Age', 'Mental Health Status', 'Emotional State', 'Education Level']",5
Any general advice on what I should do?,"['Age', 'Profession', 'Economic Status', 'Emotional State', 'Mental Health Status', 'Education Level', 'Health Status', 'Marital Status', 'Past Self-Harm History']",9
How can I deal with my social anxiety and improve my confidence around people?,['Emotional State'],1
Is it wrong to talk to a male classmate that way?,"['Age', 'Gender', 'Profession', 'Emotional State', 'Marital Status', 'Education Level', 'Mental Health Status', 'Economic Status']",8
How do I get over being a coward and learn to be assertive?,"['Mental Health Status', 'Emotional State', 'Profession', 'Age', 'Education Level']",5
How can I handle feeling left out by my housemates who exclude me from activities?,"['Emotional State', 'Mental Health Status']",2
What advice do you have for making friends in college as a shy person?,"['Age', 'Education Level', 'Profession', 'Emotional State', 'Marital Status', 'Mental Health Status', 'Economic Status']",7
What about me makes people not take me seriously in a group?,"['Emotional State', 'Profession', 'Age', 'Gender', 'Marital Status', 'Education Level', 'Economic Status', 'Mental Health Status']",8
"As a complete anxious noob, where and how can I practice getting better at socializing?","['Emotional State', 'Age', 'Education Level', 'Profession', 'Mental Health Status', 'Marital Status', 'Health Status', 'Economic Status']",8
"How should I proceed if I see her or cross paths at the workplace, and should I intentionally ignore her?","['Profession', 'Emotional State', 'Age', 'Gender', 'Marital Status', 'Education Level', 'Mental Health Status', 'Economic Status', 'Health Status']",9
"What is the etiquette for meeting people at concerts and shows, and how should I approach these situations if I'm going alone?",['Age'],1
"What realistically can I do at this point? Or am I really just a victim of unfortunate circumstances that have left me fucked beyond any help? Should I continue with my plan to just give up, just focusing on passions and not worrying about finding someone, or is that going to only ensure my continued solitude and I need to keep trying?","['Mental Health Status', 'Emotional State', 'Profession', 'Marital Status', 'Economic Status', 'Age', 'Past Self-Harm History', 'Education Level']",8
How can I make friends and connect with others at my art college when I feel shy and out of place?,"['Age', 'Education Level', 'Profession', 'Emotional State', 'Mental Health Status', 'Marital Status', 'Economic Status']",7
What am I supposed to do to meet new people and access social events like parties and meetups?,['Profession'],1
Has anyone ever been in this spot or have experience a situation like this?,"['Age', 'Emotional State', 'Mental Health Status', 'Profession', 'Economic Status', 'Marital Status', 'Health Status', 'Education Level']",8
How can I improve my conversational skills to engage in longer conversations and develop friendships and a potential relationship?,['Education Level'],1
"What should I do to improve my motivation and communication skills, and how can I prepare for my maturity exam?","['Education Level', 'Profession']",2
How can I make friends?,"['Profession', 'Age', 'Emotional State', 'Education Level']",4
How can I cope with feeling alone on my birthday?,['Marital Status'],1
Any tips on how to stop thinking this way?,"['Emotional State', 'Mental Health Status', 'Age', 'Profession', 'Past Self-Harm History', 'Health Status', 'Education Level']",7
"What should I do after exchanging numbers with a girl from my class, considering I'm an introvert and have never been in this situation before?","['Age', 'Education Level', 'Gender', 'Emotional State', 'Profession', 'Marital Status', 'Mental Health Status', 'Past Self-Harm History', 'Economic Status']",9
How can I improve my dating life and form meaningful relationships despite my challenges?,"['Marital Status', 'Mental Health Status']",2
How can I overcome my inability to socialize and talk to a girl I like despite being bullied and blackmailed by friends?,"['Mental Health Status', 'Emotional State', 'Age', 'Profession', 'Education Level', 'Past Self-Harm History', 'Marital Status', 'Economic Status']",8
How can I find or approach a girl I saw at a workshop who winked at me?,"['Age', 'Profession', 'Mental Health Status', 'Gender', 'Emotional State', 'Marital Status', 'Education Level']",7
How do you make friends at 18?,"['Age', 'Profession', 'Education Level', 'Emotional State', 'Marital Status', 'Mental Health Status', 'Health Status', 'Economic Status']",8
How can I meet new people and put myself out there after a breakup?,['Emotional State'],1
How do I overcome my extreme anxiety about social interaction and manage my nerves for the interview at Burger King?,"['Emotional State', 'Mental Health Status', 'Education Level', 'Profession', 'Health Status', 'Age']",6
How can I become more socially confident and courageous?,"['Emotional State', 'Mental Health Status']",2
How can I find true friends after turning 30?,"['Age', 'Profession', 'Mental Health Status']",3
How do you 'connect' with people and develop a friendship?,"['Emotional State', 'Profession', 'Age', 'Education Level', 'Mental Health Status', 'Marital Status']",6
How can I deal with intense anxiety that makes me sick every morning because of my job?,['Profession'],1
What should I do about my severe anxiety that makes it hard to go to work?,"['Emotional State', 'Mental Health Status', 'Health Status', 'Profession']",4
What resources or support can help me improve my social skills and imagination to better interact with my son?,['Education Level'],1
Does never having been drunk at almost 21 make me weird?,"['Age', 'Education Level', 'Gender', 'Marital Status', 'Profession', 'Mental Health Status', 'Economic Status']",7
How can I navigate classroom politics and group creation effectively?,['Profession'],1
How do you feel about dating today?,"['Emotional State', 'Mental Health Status', 'Marital Status', 'Age', 'Gender', 'Past Self-Harm History', 'Profession', 'Economic Status']",8
"What books, blogs, or other resources have advice on how to just be a nice person?",['Emotional State'],1
How can I make friends and overcome feeling socially isolated?,"['Marital Status', 'Profession', 'Education Level', 'Age', 'Mental Health Status', 'Emotional State']",6
How can I turn my life around?,"['Emotional State', 'Profession', 'Age', 'Mental Health Status', 'Economic Status', 'Marital Status', 'Health Status', 'Education Level']",8
How can I improve my verbal communication to make better impressions during conversations?,['Education Level'],1
How can I improve my social skills when talking to girls?,"['Age', 'Education Level', 'Profession', 'Marital Status', 'Emotional State', 'Gender', 'Mental Health Status', 'Past Self-Harm History']",8
What are some ways I can make friends and not really spend money?,"['Age', 'Profession', 'Emotional State', 'Education Level']",4
How can I improve my communication skills in social situations to maintain my friendships?,['Education Level'],1
Why is this happening and how can I not be viewed as an emotionally fragile hot mess?,"['Emotional State', 'Past Self-Harm History', 'Mental Health Status', 'Marital Status', 'Age', 'Profession', 'Economic Status', 'Health Status', 'Education Level', 'Gender']",10
"How does one cope with social anxiety and integrate themselves with others naturally, especially among a group I already broke the ice with but not quite?",['Emotional State'],1
"How am I supposed to deal with being a quiet person when it destroys my self-confidence and makes me feel hurt, sad, and defensive?",['Emotional State'],1
"How can I start improving my life, making friends, and overcoming my fear of speaking to girls?","['Age', 'Education Level', 'Profession', 'Emotional State', 'Marital Status', 'Mental Health Status', 'Economic Status']",7
WTF is wrong with me? Am I just really deep into limerence?,"['Emotional State', 'Mental Health Status', 'Age', 'Profession', 'Education Level', 'Marital Status', 'Past Self-Harm History']",7
How can I help people if I don't know any people?,"['Age', 'Profession', 'Emotional State', 'Marital Status', 'Education Level', 'Gender', 'Mental Health Status', 'Economic Status', 'Health Status', 'Past Self-Harm History']",10
How can I overcome my social awkwardness and improve my self-esteem?,"['Emotional State', 'Mental Health Status', 'Age', 'Profession', 'Education Level']",5
How can I overcome my social anxiety when I can't afford a therapist and don't have support from friends or family?,"['Emotional State', 'Age', 'Education Level', 'Mental Health Status', 'Economic Status', 'Profession', 'Marital Status', 'Health Status', 'Past Self-Harm History']",9
Am I overthinking and missing signs of other thoughts I should have or solutions to my thoughts?,['Emotional State'],1
How can someone be motivated to be social when you experience constant negative feedback?,"['Emotional State', 'Mental Health Status', 'Profession', 'Age']",4
How can I improve my social skills and make meaningful connections?,['Emotional State'],1
Any tips on building my self-esteem enough or being able to talk better in social situations?,"['Emotional State', 'Mental Health Status', 'Age', 'Profession', 'Education Level']",5
How can someone change my mind about relationships being a waste of time and resources?,"['Marital Status', 'Emotional State', 'Mental Health Status', 'Profession', 'Economic Status', 'Past Self-Harm History', 'Age', 'Education Level']",8
How do I stop viewing girls as sex objects?,[],0
Why am I feeling happy about my crush getting a boyfriend after initially being upset?,['Emotional State'],1
What should I do about these kind of situations in the future?,"['Emotional State', 'Health Status', 'Profession', 'Marital Status', 'Mental Health Status', 'Age', 'Education Level', 'Economic Status', 'Past Self-Harm History']",9
What tips can you give for maintaining a friendship with someone who inspires me?,['Emotional State'],1
Anything else I should be trying to speed up this process a little bit? Is it just going to take more time/practice? Or is this likely a permanent issue that I'm going to have to learn to live with?,"['Mental Health Status', 'Emotional State', 'Profession']",3
How can I confidently approach a girl I want to be my girlfriend?,"['Age', 'Profession', 'Emotional State', 'Gender', 'Education Level', 'Marital Status', 'Mental Health Status', 'Economic Status']",8
Why would he blow me off online while still being active?,"['Age', 'Profession', 'Mental Health Status', 'Emotional State', 'Economic Status', 'Marital Status', 'Health Status', 'Education Level', 'Gender', 'Past Self-Harm History']",10
Does anyone check out r/Mindfulness?,"['Emotional State', 'Age', 'Education Level', 'Mental Health Status', 'Health Status', 'Profession']",6
How can I convince my friend's parents to let her go on a trip with me?,"['Age', 'Emotional State', 'Gender', 'Marital Status', 'Profession', 'Economic Status', 'Education Level', 'Mental Health Status']",8
Anyone else struggling with a drop in social skills due to focusing more on career development?,['Profession'],1
"What can I do to improve my social skills, especially when it comes to women and dating?","['Age', 'Gender']",2
Is my difficulty in socializing and finding words due to spending too much time alone or could it be ADHD?,"['Age', 'Mental Health Status', 'Profession', 'Education Level', 'Emotional State']",5
How can I build meaningful friendships and relationships despite my disability?,['Mental Health Status'],1
How do I become more easygoing and normal in social interactions?,"['Emotional State', 'Profession', 'Age', 'Marital Status', 'Education Level', 'Mental Health Status']",6
"Should I talk to her? Also, for what reasons should you NOT try anything?","['Emotional State', 'Marital Status', 'Age', 'Gender', 'Mental Health Status', 'Profession', 'Economic Status', 'Past Self-Harm History']",8
Does anyone have any suggestions for what I should do to improve my social skills and make friends?,"['Emotional State', 'Profession', 'Age', 'Education Level', 'Marital Status', 'Mental Health Status', 'Health Status', 'Economic Status']",8
How can I overcome loneliness and build meaningful friendships?,"['Emotional State', 'Age', 'Mental Health Status', 'Profession']",4
How can I establish proper friendships and maintain conversations in college?,"['Age', 'Education Level']",2
What do these girls think about me?,"['Gender', 'Age', 'Education Level', 'Profession', 'Emotional State', 'Health Status', 'Marital Status', 'Economic Status', 'Mental Health Status']",9
How can I improve my social skills and make more friends?,['Emotional State'],1
Do I have social anxiety?,"['Emotional State', 'Age', 'Mental Health Status', 'Profession', 'Gender', 'Marital Status', 'Health Status', 'Economic Status']",8
How do I cope with anxiety and pressure from my coworkers at my job?,['Profession'],1
How can I become magnetic like this girl I know?,"['Age', 'Education Level', 'Profession', 'Mental Health Status', 'Emotional State']",5
Is it weird to ask the girl who sits next to me in class for notes and to introduce myself after 3 weeks of classes?,['Age'],1
How do I find people who are loyal to me and like me for who I am?,"['Emotional State', 'Profession', 'Age', 'Mental Health Status', 'Education Level', 'Marital Status']",6
"What daily course of action can I do, starting today, that will help me improve my social skills/confidence?",['Emotional State'],1
How can I manage my tendency to get bored and dislike people after spending too much time with them?,['Emotional State'],1
"What are some specific things I can say to a girl in my friend group to let her know I'm not interested in her, without appearing heartless and losing friends?",['Emotional State'],1
How do I become a part of the 'cool gang'? Where do I even start?,"['Profession', 'Age', 'Education Level', 'Emotional State', 'Mental Health Status']",5
How can I overcome the self-doubt and low self-esteem caused by my childhood emotional neglect?,['Emotional State'],1
How do I make friends?,"['Profession', 'Age', 'Emotional State', 'Education Level', 'Marital Status', 'Mental Health Status', 'Economic Status']",7
"Where are some good places to meet new friends and especially girls? Also, what is the best way to go about choosing the right people to try and befriend?","['Age', 'Profession', 'Emotional State', 'Education Level', 'Marital Status', 'Mental Health Status', 'Economic Status', 'Gender']",8
How do I find friends while living in a remote area?,"['Age', 'Profession', 'Emotional State', 'Education Level', 'Economic Status']",5
How can I manage my feelings of discomfort and boredom after spending too much time with people?,['Emotional State'],1
What should I say to my professor if I want to know if he's written any books?,['Profession'],1
How can I stop being a clingy friend and avoid ruining my friendship?,['Emotional State'],1
Does anyone judge a guy if he attempts to pee at a urinal but fails to?,"['Age', 'Profession', 'Gender', 'Mental Health Status', 'Emotional State', 'Marital Status', 'Education Level']",7
How can I feel more comfortable attending social events alone?,['Emotional State'],1
Has anybody experienced feeling like an outsider or is it just me?,"['Emotional State', 'Mental Health Status', 'Age', 'Marital Status', 'Education Level', 'Past Self-Harm History', 'Profession', 'Gender', 'Health Status', 'Economic Status']",10
"Is there anything else I can do to have adult relationships, or should I just save my energy and quit trying?","['Marital Status', 'Emotional State', 'Age', 'Mental Health Status', 'Profession', 'Past Self-Harm History', 'Economic Status', 'Education Level', 'Gender']",9
"How should I approach people and groups, and what's appropriate to say to develop social skills as an adult?",['Education Level'],1
How can I build a genuine connection with people and stop feeling so alone?,"['Emotional State', 'Mental Health Status', 'Marital Status', 'Age', 'Education Level', 'Past Self-Harm History', 'Profession', 'Economic Status']",8
How do I be a good friend and maintain friendships?,['Emotional State'],1
What should I do about my job that is affecting my mental health and happiness?,['Profession'],1
What can I do to address my feelings about being a 23-year-old virgin with no relationship experience?,"['Marital Status', 'Emotional State', 'Gender', 'Education Level', 'Mental Health Status', 'Past Self-Harm History']",6
How can I improve my social skills and relationships?,"['Marital Status', 'Emotional State', 'Profession']",3
How can I date attractive women as an average looking guy with a decent middle class job?,"['Profession', 'Age', 'Education Level', 'Economic Status', 'Marital Status', 'Emotional State', 'Health Status']",7
Why does she flirt with me and try to get my attention then lash out when I ignore her?,"['Emotional State', 'Mental Health Status', 'Profession', 'Age', 'Marital Status', 'Economic Status']",6
What is going on with me? Is this normal?,"['Emotional State', 'Past Self-Harm History', 'Mental Health Status', 'Age', 'Marital Status', 'Health Status', 'Profession', 'Economic Status', 'Education Level']",9
What should I do about bringing flowers and chocolate to girls for Valentine's Day?,['Age'],1
Why do I have to act so fidgety and say dumb shit and tense up at every interaction?,"['Emotional State', 'Profession', 'Mental Health Status', 'Age', 'Education Level', 'Health Status', 'Economic Status', 'Marital Status', 'Past Self-Harm History', 'Gender']",10
What can I do to overcome the fear of stuttering in social situations?,"['Emotional State', 'Mental Health Status', 'Age']",3
Has anyone else experienced difficulty speaking in front of groups and have any advice on how to overcome it?,['Education Level'],1
How can I make myself more comfortable when in public?,['Emotional State'],1
Are there other things I can work on and develop that could potentially help with my anxiety about meeting new people?,['Emotional State'],1
How can I stop driving people away and improve my social interactions?,['Emotional State'],1
How do you make friends near your age?,"['Age', 'Profession', 'Emotional State', 'Education Level']",4
How can I learn to deal with verbal confrontation?,['Emotional State'],1
How can I better manage the confrontations with my conservative parents regarding my cannabis use?,"['Age', 'Emotional State', 'Profession', 'Mental Health Status', 'Education Level', 'Marital Status', 'Economic Status', 'Gender']",8
"Am I doing something wrong in the way I approach my guy friends, and is there a better way to communicate my boundaries?","['Emotional State', 'Age', 'Education Level', 'Mental Health Status', 'Marital Status', 'Gender', 'Profession', 'Health Status', 'Economic Status']",9
How do I start making a living and make new friends?,['Profession'],1
What can I do to improve this aspect?,"['Education Level', 'Mental Health Status', 'Profession', 'Economic Status']",4
Do you have any advice for dealing with a roommate who is sensitive to smells?,"['Emotional State', 'Marital Status', 'Mental Health Status', 'Age', 'Profession', 'Economic Status']",6
How can I change my mindset to value what I think of myself more and what others think of me less?,['Emotional State'],1
What can I do to keep a woman to stay around?,[],0
How do I get over an inferiority complex? How does someone like me meet people in an organic way to build friendships? How do I make myself more active on social media even when my life is pretty boring? How do I change my body and my attitude so that when I'm 30 I can look back and be amazed at how much my life has changed?,"['Emotional State', 'Age', 'Profession', 'Education Level', 'Mental Health Status', 'Marital Status', 'Economic Status']",7
